time_total,time_GTT,H1_G_opt,H1_G_min,H1_G_max,H2_G_opt,H2_G_min,H2_G_max,Glycemic_level
289.32,,,9.659704037,9.816460495,,9.917540189,10.01146872,
289.33,,,9.656620598,9.814445731,,9.916236083,10.01084094,
289.34,,,9.653539906,9.812432267,,9.914932589,10.01021333,
289.35,,,9.650461953,9.810420102,,9.913629706,10.00958587,
289.36,,,9.647386734,9.808409231,,9.912327433,10.00895858,
289.37,,,9.64431424,9.806399652,,9.911025769,10.00833146,
289.38,,,9.641244465,9.804391363,,9.909724712,10.00770449,
289.39,,,9.638177403,9.80238436,,9.908424262,10.00707768,
289.4,,,9.635113046,9.800378641,,9.907124417,10.00645104,
289.41,,,9.632051389,9.798374203,,9.905825176,10.00582456,
289.42,,,9.628992425,9.796371044,,9.904526538,10.00519824,
289.43,,,9.625936147,9.794369161,,9.903228502,10.00457208,
289.44,,,9.622882549,9.792368551,,9.901931067,10.00394607,
289.45,,,9.619831626,9.790369212,,9.900634232,10.00332023,
289.46,,,9.61678337,9.788371141,,9.899337995,10.00269455,
289.47,,,9.613737777,9.786374337,,9.898042356,10.00206903,
289.48,,,9.610694839,9.784378795,,9.896747314,10.00144366,
289.49,,,9.607654551,9.782384515,,9.895452868,10.00081846,
289.5,,,9.604616908,9.780391493,,9.894159016,10.00019341,
289.51,,,9.601581902,9.778399728,,9.892865757,9.999568527,
289.52,,,9.59854953,9.776409216,,9.891573092,9.998943797,
289.53,,,9.595519784,9.774419956,,9.890281018,9.998319226,
289.54,,,9.59249266,9.772431946,,9.888989535,9.997694812,
289.55,,,9.589468152,9.770445183,,9.887698641,9.997070555,
289.56,,,9.586446254,9.768459665,,9.886408337,9.996446456,
289.57,,,9.583426962,9.766475389,,9.88511862,9.995822513,
289.58,,,9.580410269,9.764492354,,9.883829491,9.995198728,
289.59,,,9.577396171,9.762510558,,9.882540948,9.994575098,
289.6,,,9.574384662,9.760529998,,9.88125299,9.993951625,
289.61,,,9.571375738,9.758550672,,9.879965617,9.993328309,
289.62,,,9.568369392,9.756572579,,9.878678827,9.992705148,
289.63,,,9.56536562,9.754595715,,9.87739262,9.992082142,
289.64,,,9.562364418,9.75262008,,9.876106995,9.991459292,
289.65,,,9.559365779,9.750645671,,9.874821951,9.990836598,
289.66,,,9.5563697,9.748672486,,9.873537487,9.990214058,
289.67,,,9.553376175,9.746700524,,9.872253602,9.989591673,
289.68,,,9.550385199,9.744729782,,9.870970297,9.988969443,
289.69,,,9.547396769,9.742760258,,9.869687569,9.988347367,
289.7,,,9.544410878,9.740791951,,9.868405418,9.987725446,
289.71,,,9.541427523,9.738824858,,9.867123843,9.987103678,
289.72,,,9.538446699,9.736858978,,9.865842845,9.986482065,
289.73,,,9.5354684,9.73489431,,9.86456242,9.985860605,
289.74,,,9.532492624,9.73293085,,9.86328257,9.985239298,
289.75,,,9.529519365,9.730968598,,9.862003294,9.984618145,
289.76,,,9.526548619,9.729007551,,9.860724589,9.983997145,
289.77,,,9.523580381,9.727047708,,9.859446457,9.983376298,
289.78,,,9.520614647,9.725089068,,9.858168896,9.982755604,
289.79,,,9.517651413,9.723131627,,9.856891905,9.982135062,
289.8,,,9.514690675,9.721175386,,9.855615484,9.981514672,
289.81,,,9.511732427,9.719220341,,9.854339632,9.980894435,
289.82,,,9.508776667,9.717266492,,9.853064348,9.98027435,
289.83,,,9.50582339,9.715313837,,9.851789632,9.979654417,
289.84,,,9.502872591,9.713362373,,9.850515483,9.979034636,
289.85,,,9.499924267,9.7114121,,9.8492419,9.978415006,
289.86,,,9.496978413,9.709463016,,9.847968883,9.977795528,
289.87,,,9.494035027,9.707515118,,9.846696431,9.977176201,
289.88,,,9.491094102,9.705568407,,9.845424544,9.976557025,
289.89,,,9.488155637,9.703622879,,9.84415322,9.975938,
289.9,,,9.485219626,9.701678534,,9.842882459,9.975319125,
289.91,,,9.482286065,9.69973537,,9.841612261,9.974700402,
289.92,,,9.479354952,9.697793385,,9.840342624,9.974081828,
289.93,,,9.476426282,9.695852579,,9.839073549,9.973463406,
289.94,,,9.473500051,9.693912948,,9.837805035,9.972845133,
289.95,,,9.470576255,9.691974493,,9.83653708,9.97222701,
289.96,,,9.467654892,9.690037211,,9.835269685,9.971609037,
289.97,,,9.464735956,9.688101101,,9.834002849,9.970991214,
