time,G_min,G_max,G_opt,I_min,I_max,I_opt
288.58,10.21844965,11.94680504,10.96186055,0.01049772,0.039478057,0.024695958
288.59,10.21760905,11.94662491,10.96119891,0.010675321,0.040138876,0.025112118
288.6,10.21676841,11.94644444,10.96053708,0.010852779,0.040798848,0.025527868
288.61,10.21592772,11.94626362,10.95987504,0.011030094,0.041457968,0.025943206
288.62,10.21508699,11.94608245,10.9592128,0.011207264,0.042116231,0.026358129
288.63,10.2142462,11.94590093,10.95855035,0.011384289,0.042773631,0.026772633
288.64,10.21340537,11.94571906,10.95788771,0.011561168,0.043430163,0.027186717
288.65,10.21256449,11.94553682,10.95722485,0.0117379,0.044085823,0.027600379
288.66,10.21172355,11.94535423,10.95656179,0.011914484,0.044740606,0.028013615
288.67,10.21088256,11.94517127,10.95589851,0.012090919,0.045394507,0.028426423
288.68,10.21004152,11.94498795,10.95523503,0.012267205,0.046047522,0.028838802
288.69,10.20920043,11.94480427,10.95457133,0.012443341,0.046699647,0.029250748
288.7,10.20835927,11.94462021,10.95390742,0.012619326,0.047350876,0.02966226
288.71,10.20751807,11.94443579,10.95324329,0.01279516,0.048001207,0.030073336
288.72,10.2066768,11.94425099,10.95257895,0.012970841,0.048650635,0.030483974
288.73,10.20583547,11.94406581,10.95191439,0.013146369,0.049299156,0.030894171
288.74,10.20499409,11.94388026,10.9512496,0.013321743,0.049946767,0.031303926
288.75,10.20415264,11.94369434,10.9505846,0.013496964,0.050593464,0.031713237
288.76,10.20331114,11.94350803,10.94991938,0.013672029,0.051239244,0.032122102
288.77,10.20246957,11.94332134,10.94925394,0.013846939,0.051884103,0.03253052
288.78,10.20162793,11.94313426,10.94858827,0.014021692,0.052528038,0.032938487
288.79,10.20078624,11.94294681,10.94792238,0.014196289,0.053171046,0.033346004
288.8,10.19994447,11.94275896,10.94725626,0.014370729,0.053813123,0.033753068
288.81,10.19910265,11.94257073,10.94658992,0.014545011,0.054454268,0.034159678
288.82,10.19826075,11.9423821,10.94592334,0.014719134,0.055094476,0.034565832
288.83,10.19741879,11.94219309,10.94525655,0.014893099,0.055733746,0.034971529
288.84,10.19657676,11.94200368,10.94458952,0.015066904,0.056372074,0.035376767
288.85,10.19573467,11.94181388,10.94392226,0.015240549,0.057009459,0.035781544
288.86,10.1948925,11.94162369,10.94325477,0.015414034,0.057645897,0.036185861
288.87,10.19405027,11.94143309,10.94258705,0.015587359,0.058281386,0.036589714
288.88,10.19320796,11.9412421,10.9419191,0.015760521,0.058915925,0.036993104
288.89,10.19236559,11.94105071,10.94125092,0.015933523,0.05954951,0.037396028
288.9,10.19152314,11.94085892,10.94058251,0.016106362,0.06018214,0.037798485
288.91,10.19068062,11.94066673,10.93991386,0.016279038,0.060813813,0.038200475
288.92,10.18983803,11.94047414,10.93924498,0.016451552,0.061444526,0.038601997
288.93,10.18899537,11.94028114,10.93857586,0.016623902,0.062074279,0.039003048
288.94,10.18815263,11.94008774,10.93790651,0.016796088,0.062703068,0.039403628
288.95,10.18730982,11.93989393,10.93723692,0.01696811,0.063330893,0.039803737
288.96,10.18646693,11.93969972,10.9365671,0.017139968,0.063957751,0.040203372
288.97,10.18562397,11.9395051,10.93589704,0.017311661,0.064583642,0.040602534
288.98,10.18478093,11.93931007,10.93522675,0.017483189,0.065208563,0.041001221
288.99,10.18393782,11.93911463,10.93455621,0.017654551,0.065832514,0.041399432
289,10.18309464,11.93891878,10.93388544,0.017825748,0.066455492,0.041797167
289.01,10.18225137,11.93872252,10.93321443,0.017996778,0.067077497,0.042194425
289.02,10.18140803,11.93852585,10.93254319,0.018167642,0.067698527,0.042591204
289.03,10.18056462,11.93832876,10.93187171,0.01833834,0.068318581,0.042987505
289.04,10.17972112,11.93813127,10.93119998,0.01850887,0.068937659,0.043383326
289.05,10.17887755,11.93793336,10.93052802,0.018679233,0.069555758,0.043778667
289.06,10.1780339,11.93773503,10.92985582,0.018849429,0.070172878,0.044173526
289.07,10.17719017,11.93753629,10.92918338,0.019019457,0.070789018,0.044567905
289.08,10.17634637,11.93733714,10.92851071,0.019189317,0.071404178,0.044961801
289.09,10.17550248,11.93713756,10.92783779,0.019359009,0.072018356,0.045355214
289.1,10.17465852,11.93693758,10.92716463,0.019528532,0.072631551,0.045748144
289.11,10.17381448,11.93673717,10.92649123,0.019697887,0.073243763,0.04614059
289.12,10.17297035,11.93653634,10.9258176,0.019867073,0.073854991,0.046532552
289.13,10.17212615,11.9363351,10.92514372,0.02003609,0.074465235,0.046924028
289.14,10.17128187,11.93613344,10.92446961,0.020204937,0.075074494,0.047315019
289.15,10.17043751,11.93593136,10.92379525,0.020373615,0.075682767,0.047705525
289.16,10.16959306,11.93572886,10.92312066,0.020542124,0.076290055,0.048095544
289.17,10.16874854,11.93552594,10.92244582,0.020710463,0.076896356,0.048485076
289.18,10.16790394,11.93532259,10.92177075,0.020878631,0.07750167,0.048874121
289.19,10.16705926,11.93511883,10.92109543,0.02104663,0.078105996,0.049262679
289.2,10.16621449,11.93491465,10.92041988,0.021214458,0.078709336,0.049650749
289.21,10.16536965,11.93471004,10.91974408,0.021382116,0.079311687,0.050038331
289.22,10.16452472,11.93450501,10.91906805,0.021549604,0.079913051,0.050425425
289.23,10.16367971,11.93429956,10.91839177,0.02171692,0.080513426,0.050812029
289.24,10.16283462,11.93409369,10.91771526,0.021884066,0.081112814,0.051198145
289.25,10.16198945,11.93388739,10.91703851,0.022051041,0.081711212,0.051583771
289.26,10.1611442,11.93368067,10.91636152,0.022217845,0.082308623,0.051968908
289.27,10.16029887,11.93347353,10.91568429,0.022384478,0.082905045,0.052353556
289.28,10.15945345,11.93326597,10.91500682,0.022550939,0.083500478,0.052737713
289.29,10.15860796,11.93305798,10.91432911,0.022717229,0.084094923,0.05312138
289.3,10.15776238,11.93284956,10.91365116,0.022883348,0.08468838,0.053504557
289.31,10.15691672,11.93264073,10.91297298,0.023049295,0.085280848,0.053887244
289.32,10.15607098,11.93243146,10.91229455,0.023215071,0.085872329,0.05426944
289.33,10.15522515,11.93222178,10.91161589,0.023380674,0.086462821,0.054651145
289.34,10.15437925,11.93201167,10.91093699,0.023546107,0.087052326,0.05503236
289.35,10.15353326,11.93180113,10.91025786,0.023711367,0.087640843,0.055413084
289.36,10.15268719,11.93159017,10.90957848,0.023876455,0.088228373,0.055793317
289.37,10.15184104,11.93137879,10.90889887,0.024041371,0.088814915,0.056173059
289.38,10.15099481,11.93116698,10.90821903,0.024206116,0.089400472,0.05655231
289.39,10.1501485,11.93095475,10.90753894,0.024370688,0.089985042,0.05693107
289.4,10.1493021,11.93074209,10.90685862,0.024535088,0.090568626,0.057309338
289.41,10.14845563,11.930529,10.90617807,0.024699316,0.091151224,0.057687116
289.42,10.14760907,11.93031549,10.90549727,0.024863372,0.091732838,0.058064403
289.43,10.14676243,11.93010156,10.90481625,0.025027256,0.092313467,0.058441198
289.44,10.14591571,11.9298872,10.90413498,0.025190968,0.092893111,0.058817503
289.45,10.14506891,11.92967242,10.90345349,0.025354507,0.093471772,0.059193316
289.46,10.14422202,11.92945721,10.90277176,0.025517874,0.09404945,0.059568639
289.47,10.14337506,11.92924158,10.90208979,0.025681068,0.094626145,0.059943471
289.48,10.14252801,11.92902552,10.90140759,0.025844091,0.095201858,0.060317812
289.49,10.14168088,11.92880904,10.90072516,0.026006941,0.09577659,0.060691662
289.5,10.14083367,11.92859213,10.9000425,0.026169618,0.09635034,0.061065021
289.51,10.13998638,11.9283748,10.8993596,0.026332124,0.096923111,0.06143789
289.52,10.13913901,11.92815704,10.89867647,0.026494457,0.097494902,0.061810269
289.53,10.13829156,11.92793886,10.89799311,0.026656618,0.098065714,0.062182157
289.54,10.13744402,11.92772026,10.89730951,0.026818606,0.098635547,0.062553555
289.55,10.13659641,11.92750123,10.89662569,0.026980422,0.099204403,0.062924463
289.56,10.13574872,11.92728178,10.89594163,0.027142066,0.099772283,0.063294881
289.57,10.13490094,11.9270619,10.89525735,0.027303538,0.100339186,0.06366481
289.58,10.13405309,11.9268416,10.89457283,0.027464837,0.100905114,0.064034249
289.59,10.13320515,11.92662088,10.89388809,0.027625964,0.101470067,0.064403198
289.6,10.13235714,11.92639973,10.89320312,0.027786919,0.102034047,0.064771659
289.61,10.13150904,11.92617816,10.89251791,0.027947702,0.102597053,0.06513963
289.62,10.13066087,11.92595617,10.89183248,0.028108313,0.103159087,0.065507113
289.63,10.12981262,11.92573375,10.89114683,0.028268751,0.103720151,0.065874107
289.64,10.12896428,11.92551092,10.89046094,0.028429018,0.104280243,0.066240613
289.65,10.12811587,11.92528766,10.88977483,0.028589112,0.104839366,0.06660663
289.66,10.12726738,11.92506397,10.88908849,0.028749035,0.10539752,0.06697216
289.67,10.12641881,11.92483987,10.88840193,0.028908785,0.105954707,0.067337202
289.68,10.12557016,11.92461534,10.88771514,0.029068364,0.106510926,0.067701757
289.69,10.12472143,11.9243904,10.88702812,0.029227771,0.10706618,0.068065825
289.7,10.12387262,11.92416503,10.88634088,0.029387006,0.107620468,0.068429406
289.71,10.12302374,11.92393924,10.88565342,0.029546069,0.108173793,0.0687925
289.72,10.12217477,11.92371303,10.88496573,0.029704961,0.108726154,0.069155107
289.73,10.12132573,11.92348639,10.88427782,0.029863681,0.109277553,0.069517229
289.74,10.12047661,11.92325934,10.88358969,0.030022229,0.10982799,0.069878865
289.75,10.11962741,11.92303187,10.88290134,0.030180606,0.110377468,0.070240016
289.76,10.11877814,11.92280398,10.88221276,0.030338811,0.110925986,0.070600681
289.77,10.11792878,11.92257567,10.88152396,0.030496845,0.111473546,0.070960861
289.78,10.11707936,11.92234694,10.88083494,0.030654708,0.112020149,0.071320557
289.79,10.11622985,11.92211779,10.88014571,0.0308124,0.112565795,0.071679769
289.8,10.11538027,11.92188823,10.87945625,0.03096992,0.113110487,0.072038496
289.81,10.11453061,11.92165824,10.87876657,0.031127269,0.113654224,0.07239674
289.82,10.11368087,11.92142784,10.87807667,0.031284448,0.114197008,0.072754501
289.83,10.11283106,11.92119702,10.87738656,0.031441455,0.114738841,0.073111779
289.84,10.11198117,11.92096578,10.87669623,0.031598291,0.115279722,0.073468574
289.85,10.1111312,11.92073413,10.87600568,0.031754957,0.115819654,0.073824887
289.86,10.11028116,11.92050206,10.87531492,0.031911452,0.116358637,0.074180718
289.87,10.10943105,11.92026957,10.87462393,0.032067776,0.116896672,0.074536067
289.88,10.10858086,11.92003666,10.87393274,0.03222393,0.117433761,0.074890935
289.89,10.10773059,11.91980335,10.87324133,0.032379913,0.117969905,0.075245323
