time_total,Glucose_max,Glucose_min,Glucose_opt,Insulin_max,Insulin_min,Insulin_opt
2.48,5.47080071,5.379032346,0.396138498,0.455359687,0.187708253,0.396138498
2.49,5.470631436,5.378496777,0.397506494,0.456856882,0.18837928,0.397506494
2.5,5.470461754,5.377960841,0.398872662,0.458351486,0.189049614,0.398872662
2.51,5.470291663,5.377424541,0.400237005,0.459843504,0.189719254,0.400237005
2.52,5.470121164,5.376887875,0.401599524,0.461332939,0.190388202,0.401599524
2.53,5.469950258,5.376350845,0.40296022,0.462819795,0.191056457,0.40296022
2.54,5.469778944,5.375813452,0.404319097,0.464304074,0.191724021,0.404319097
2.55,5.469607225,5.375275695,0.405676154,0.465785782,0.192390894,0.405676154
2.56,5.469435099,5.374737576,0.407031394,0.467264921,0.193057076,0.407031394
2.57,5.469262567,5.374199096,0.408384818,0.468741495,0.193722568,0.408384818
2.58,5.46908963,5.373660253,0.409736429,0.470215509,0.19438737,0.409736429
2.59,5.468916288,5.373121051,0.411086228,0.471686964,0.195051483,0.411086228
2.6,5.468742541,5.372581488,0.412434216,0.473155866,0.195714907,0.412434216
2.61,5.468568391,5.372041566,0.413780395,0.474622218,0.196377643,0.413780395
2.62,5.468393837,5.371501284,0.415124766,0.476086023,0.197039692,0.415124766
2.63,5.468218879,5.370960645,0.416467333,0.477547286,0.197701054,0.416467333
2.64,5.468043519,5.370419648,0.417808096,0.479006009,0.198361729,0.417808096
2.65,5.467867756,5.369878294,0.419147056,0.480462197,0.199021718,0.419147056
2.66,5.467691591,5.369336583,0.420484216,0.481915853,0.199681021,0.420484216
2.67,5.467515025,5.368794517,0.421819577,0.483366981,0.20033964,0.421819577
2.68,5.467338057,5.368252095,0.423153142,0.484815585,0.200997574,0.423153142
2.69,5.467160689,5.367709319,0.424484911,0.486261667,0.201654824,0.424484911
2.7,5.466982921,5.367166189,0.425814886,0.487705233,0.202311391,0.425814886
2.71,5.466804752,5.366622705,0.427143069,0.489146285,0.202967274,0.427143069
2.72,5.466626185,5.366078869,0.428469462,0.490584827,0.203622476,0.428469462
2.73,5.466447218,5.36553468,0.429794067,0.492020862,0.204276996,0.429794067
