time_total,time_GTT,H1_G_opt,H1_G_min,H1_G_max,H2_G_opt,H2_G_min,H2_G_max,Glycemic_level
309.51,,,7.723311708,8.714708609,,8.22811603,9.102665806,
309.52,,,7.722579269,8.714142242,,8.227466872,9.102221787,
309.53,,,7.72184707,8.713575965,,8.226817882,9.101777817,
309.54,,,7.721115111,8.713009777,,8.226169061,9.101333898,
309.55,,,7.72038339,8.712443678,,8.225520408,9.100890028,
309.56,,,7.71965191,8.711877669,,8.224871923,9.100446208,
309.57,,,7.718920668,8.711311748,,8.224223607,9.100002438,
309.58,,,7.718189665,8.710745917,,8.223575458,9.099558717,
309.59,,,7.717458902,8.710180174,,8.222927478,9.099115046,
309.6,,,7.716728377,8.709614521,,8.222279665,9.098671424,
309.61,,,7.71599809,8.709048957,,8.22163202,9.098227852,
309.62,,,7.715268042,8.708483482,,8.220984543,9.097784329,
309.63,,,7.714538232,8.707918095,,8.220337234,9.097340856,
309.64,,,7.713808661,8.707352798,,8.219690092,9.096897433,
309.65,,,7.713079328,8.706787589,,8.219043118,9.096454059,
309.66,,,7.712350232,8.70622247,,8.218396311,9.096010735,
309.67,,,7.711621374,8.705657439,,8.217749671,9.09556746,
309.68,,,7.710892754,8.705092497,,8.217103199,9.095124234,
309.69,,,7.710164371,8.704527643,,8.216456893,9.094681058,
309.7,,,7.709436226,8.703962878,,8.215810755,9.094237931,
309.71,,,7.708708318,8.703398202,,8.215164784,9.093794854,
309.72,,,7.707980647,8.702833615,,8.214518979,9.093351826,
309.73,,,7.707253213,8.702269116,,8.213873342,9.092908847,
309.74,,,7.706526016,8.701704706,,8.213227871,9.092465917,
309.75,,,7.705799055,8.701140384,,8.212582567,9.092023037,
309.76,,,7.705072331,8.70057615,,8.211937429,9.091580206,
309.77,,,7.704345843,8.700012005,,8.211292458,9.091137425,
309.78,,,7.703619591,8.699447949,,8.210647653,9.090694693,
309.79,,,7.702893576,8.698883981,,8.210003014,9.090252009,
309.8,,,7.702167797,8.698320101,,8.209358542,9.089809376,
309.81,,,7.701442253,8.697756309,,8.208714236,9.089366791,
309.82,,,7.700716945,8.697192606,,8.208070095,9.088924255,
309.83,,,7.699991873,8.696628991,,8.207426121,9.088481769,
309.84,,,7.699267036,8.696065464,,8.206782313,9.088039331,
309.85,,,7.698542434,8.695502026,,8.20613867,9.087596943,
309.86,,,7.697818067,8.694938675,,8.205495194,9.087154604,
309.87,,,7.697093936,8.694375413,,8.204851882,9.086712314,
309.88,,,7.696370039,8.693812238,,8.204208737,9.086270073,
309.89,,,7.695646377,8.693249152,,8.203565756,9.085827881,
309.9,,,7.69492295,8.692686154,,8.202922942,9.085385738,
309.91,,,7.694199757,8.692123243,,8.202280292,9.084943644,
309.92,,,7.693476798,8.691560421,,8.201637808,9.084501598,
309.93,,,7.692754073,8.690997686,,8.200995489,9.084059602,
309.94,,,7.692031583,8.69043504,,8.200353334,9.083617655,
309.95,,,7.691309326,8.689872481,,8.199711345,9.083175757,
309.96,,,7.690587304,8.68931001,,8.199069521,9.082733907,
309.97,,,7.689865515,8.688747626,,8.198427861,9.082292107,
309.98,,,7.689143959,8.688185331,,8.197786367,9.081850355,
309.99,,,7.688422637,8.687623123,,8.197145036,9.081408652,
310,,,7.687701548,8.687061002,,8.196503871,9.080966998,
310.01,,,7.686980692,8.68649897,,8.19586287,9.080525392,
310.02,,,7.686260069,8.685937024,,8.195222033,9.080083836,
310.03,,,7.685539679,8.685375167,,8.19458136,9.079642328,
310.04,,,7.684819521,8.684813397,,8.193940852,9.079200869,
310.05,,,7.684099596,8.684251714,,8.193300508,9.078759458,
310.06,,,7.683379904,8.683690119,,8.192660328,9.078318096,
310.07,,,7.682660443,8.683128611,,8.192020312,9.077876783,
310.08,,,7.681941215,8.682567191,,8.19138046,9.077435519,
310.09,,,7.681222219,8.682005858,,8.190740771,9.076994303,
310.1,,,7.680503455,8.681444612,,8.190101246,9.076553136,
310.11,,,7.679784922,8.680883454,,8.189461885,9.076112017,
310.12,,,7.679066621,8.680322382,,8.188822688,9.075670947,
310.13,,,7.678348552,8.679761398,,8.188183654,9.075229926,
310.14,,,7.677630714,8.679200501,,8.187544783,9.074788953,
310.15,,,7.676913107,8.678639692,,8.186906076,9.074348028,
310.16,,,7.676195731,8.678078969,,8.186267532,9.073907152,
310.17,,,7.675478586,8.677518333,,8.185629151,9.073466325,
310.18,,,7.674761672,8.676957785,,8.184990933,9.073025545,
310.19,,,7.674044988,8.676397323,,8.184352878,9.072584815,
310.2,,,7.673328535,8.675836949,,8.183714986,9.072144133,
310.21,,,7.672612313,8.675276661,,8.183077257,9.071703499,
310.22,,,7.67189632,8.67471646,,8.182439691,9.071262913,
310.23,,,7.671180558,8.674156346,,8.181802287,9.070822376,
310.24,,,7.670465026,8.673596319,,8.181165046,9.070381887,
310.25,,,7.669749723,8.673036379,,8.180527967,9.069941447,
310.26,,,7.669034651,8.672476525,,8.179891051,9.069501055,
310.27,,,7.668319808,8.671916758,,8.179254297,9.069060711,
310.28,,,7.667605194,8.671357078,,8.178617705,9.068620415,
310.29,,,7.66689081,8.670797485,,8.177981275,9.068180168,
310.3,,,7.666176655,8.670237978,,8.177345008,9.067739969,
310.31,,,7.665462729,8.669678558,,8.176708903,9.067299818,
310.32,,,7.664749032,8.669119224,,8.176072959,9.066859715,
310.33,,,7.664035563,8.668559977,,8.175437177,9.06641966,
310.34,,,7.663322323,8.668000816,,8.174801557,9.065979654,
310.35,,,7.662609312,8.667441742,,8.174166099,9.065539695,
310.36,,,7.66189653,8.666882754,,8.173530802,9.065099785,
310.37,,,7.661183975,8.666323852,,8.172895667,9.064659923,
