time_total,Glucose_max,Glucose_min,Glucose_opt,Insulin_max,Insulin_min,Insulin_opt
1.37,10.96899805,10.86717936,10.89612274,0.548701725,0.219159383,0.468983243
1.38,10.96866492,10.86610841,10.89521701,0.552345644,0.220671454,0.472174675
1.39,10.96833005,10.86503587,10.894309,0.555983813,0.222182089,0.475362338
1.4,10.96799346,10.86396172,10.89339872,0.559616234,0.223691287,0.478546231
1.41,10.96765514,10.86288598,10.89248618,0.563242908,0.225199049,0.481726352
1.42,10.96731508,10.86180864,10.89157136,0.566863837,0.226705373,0.484902701
1.43,10.9669733,10.86072971,10.89065428,0.570479022,0.228210259,0.488075277
1.44,10.96662978,10.85964919,10.88973495,0.574088466,0.229713706,0.49124408
1.45,10.96628453,10.85856707,10.88881335,0.577692171,0.231215714,0.494409108
1.46,10.96593755,10.85748337,10.8878895,0.581290139,0.232716283,0.497570362
1.47,10.96558883,10.85639807,10.8869634,0.584882373,0.234215411,0.50072784
1.48,10.96523839,10.85531119,10.88603505,0.588468874,0.2357131,0.503881544
1.49,10.96488621,10.85422273,10.88510445,0.592049646,0.237209347,0.507031472
1.5,10.96453231,10.85313268,10.88417161,0.595624691,0.238704154,0.510177624
1.51,10.96417667,10.85204106,10.88323654,0.599194012,0.24019752,0.513320001
1.52,10.9638193,10.85094785,10.88229923,0.602757613,0.241689444,0.516458603
1.53,10.96346021,10.84985306,10.88135968,0.606315496,0.243179927,0.519593429
1.54,10.96309938,10.8487567,10.88041791,0.609867665,0.244668968,0.52272448
1.55,10.96273683,10.84765877,10.87947392,0.613414123,0.246156567,0.525851757
1.56,10.96237254,10.84655926,10.8785277,0.616954873,0.247642724,0.528975259
1.57,10.96200653,10.84545818,10.87757927,0.62048992,0.249127439,0.532094987
1.58,10.96163879,10.84435554,10.87662862,0.624019266,0.250610711,0.535210942
1.59,10.96126933,10.84325133,10.87567576,0.627542916,0.252092542,0.538323124
1.6,10.96089813,10.84214555,10.87472069,0.631060874,0.25357293,0.541431534
1.61,10.96052522,10.84103822,10.87376342,0.634573144,0.255051876,0.544536173
1.62,10.96015057,10.83992932,10.87280396,0.638079729,0.25652938,0.547637042
1.63,10.9597742,10.83881887,10.8718423,0.641580633,0.258005442,0.55073414
1.64,10.95939611,10.83770686,10.87087844,0.645075863,0.259480062,0.55382747
1.65,10.9590163,10.8365933,10.8699124,0.64856542,0.26095324,0.556917033
1.66,10.95863476,10.83547819,10.86894418,0.652049311,0.262424977,0.560002828
1.67,10.95825151,10.83436152,10.86797377,0.655527539,0.263895272,0.563084859
1.68,10.95786653,10.83324332,10.8670012,0.65900011,0.265364125,0.566163124
1.69,10.95747983,10.83212357,10.86602645,0.662467027,0.266831537,0.569237627
1.7,10.95709142,10.83100227,10.86504953,0.665928297,0.268297509,0.572308368
1.71,10.95670128,10.82987944,10.86407045,0.669383922,0.26976204,0.575375348
1.72,10.95630943,10.82875507,10.86308921,0.67283391,0.27122513,0.578438569
1.73,10.95591587,10.82762917,10.86210582,0.676278264,0.27268678,0.581498033
1.74,10.95552059,10.82650174,10.86112027,0.679716989,0.274146991,0.58455374
1.75,10.95512359,10.82537277,10.86013258,0.683150092,0.275605762,0.587605693
1.76,10.95472488,10.82424228,10.85914275,0.686577576,0.277063094,0.590653893
1.77,10.95432447,10.82311027,10.85815078,0.689999448,0.278518987,0.593698341
1.78,10.95392234,10.82197673,10.85715668,0.693415713,0.279973442,0.59673904
1.79,10.9535185,10.82084167,10.85616044,0.696826375,0.281426459,0.599775991
1.8,10.95311295,10.8197051,10.85516209,0.700231442,0.282878038,0.602809195
1.81,10.9527057,10.81856701,10.85416161,0.703630917,0.284328181,0.605838655
1.82,10.95229674,10.81742741,10.85315901,0.707024807,0.285776886,0.608864373
1.83,10.95188608,10.81628631,10.85215431,0.710413117,0.287224156,0.61188635
1.84,10.95147371,10.81514369,10.8511475,0.713795854,0.28866999,0.614904588
1.85,10.95105964,10.81399957,10.85013858,0.717173022,0.290114388,0.61791909
1.86,10.95064387,10.81285395,10.84912757,0.720544628,0.291557352,0.620929856
1.87,10.9502264,10.81170684,10.84811446,0.723910678,0.292998882,0.623936891
1.88,10.94980723,10.81055822,10.84709926,0.727271176,0.294438978,0.626940194
1.89,10.94938636,10.80940812,10.84608198,0.730626131,0.295877641,0.62993977
1.9,10.9489638,10.80825652,10.84506262,0.733975546,0.297314872,0.632935619
1.91,10.94853955,10.80710344,10.84404118,0.737319429,0.29875067,0.635927744
1.92,10.9481136,10.80594887,10.84301767,0.740657786,0.300185038,0.638916147
1.93,10.94768596,10.80479282,10.8419921,0.743990622,0.301617974,0.64190083
1.94,10.94725663,10.80363529,10.84096446,0.747317945,0.303049481,0.644881797
1.95,10.94682561,10.80247628,10.83993477,0.750639759,0.304479558,0.647859048
1.96,10.9463929,10.8013158,10.83890302,0.753956071,0.305908206,0.650832587
1.97,10.94595851,10.80015385,10.83786923,0.757266888,0.307335426,0.653802416
1.98,10.94552244,10.79899043,10.83683339,0.760572217,0.308761219,0.656768536
1.99,10.94508468,10.79782555,10.83579551,0.763872062,0.310185585,0.659730952
2,10.94464524,10.7966592,10.8347556,0.767166431,0.311608525,0.662689664
2.01,10.94420411,10.7954914,10.83371366,0.770455331,0.313030039,0.665644677
2.02,10.94376132,10.79432214,10.83266969,0.773738767,0.314450129,0.668595991
2.03,10.94331684,10.79315142,10.83162371,0.777016746,0.315868794,0.67154361
2.04,10.94287069,10.79197925,10.83057571,0.780289274,0.317286037,0.674487536
2.05,10.94242286,10.79080564,10.82952569,0.78355636,0.318701857,0.677427772
2.06,10.94197336,10.78963058,10.82847368,0.786818007,0.320116255,0.680364321
2.07,10.9415222,10.78845408,10.82741966,0.790074225,0.321529232,0.683297185
2.08,10.94106936,10.78727614,10.82636364,0.793325018,0.322940789,0.686226366
2.09,10.94061485,10.78609676,10.82530564,0.796570394,0.324350926,0.689151868
2.1,10.94015868,10.78491595,10.82424564,0.79981036,0.325759645,0.692073694
2.11,10.93970085,10.78373371,10.82318367,0.803044922,0.327166946,0.694991845
2.12,10.93924135,10.78255004,10.82211971,0.806274087,0.32857283,0.697906325
2.13,10.93878019,10.78136495,10.82105379,0.809497861,0.329977297,0.700817136
2.14,10.93831737,10.78017844,10.81998589,0.812716252,0.331380349,0.703724282
2.15,10.93785289,10.7789905,10.81891603,0.815929267,0.332781987,0.706627764
2.16,10.93738676,10.77780116,10.81784422,0.819136911,0.334182211,0.709527587
2.17,10.93691897,10.77661039,10.81677045,0.822339193,0.335581021,0.712423752
2.18,10.93644954,10.77541822,10.81569473,0.825536119,0.33697842,0.715316263
2.19,10.93597844,10.77422465,10.81461707,0.828727695,0.338374407,0.718205122
2.2,10.93550571,10.77302966,10.81353746,0.831913929,0.339768984,0.721090333
2.21,10.93503132,10.77183328,10.81245593,0.835094828,0.341162152,0.723971898
2.22,10.93455528,10.7706355,10.81137246,0.838270398,0.34255391,0.72684982
2.23,10.93407761,10.76943633,10.81028707,0.841440647,0.343944261,0.729724103
2.24,10.93359829,10.76823576,10.80919976,0.844605582,0.345333206,0.732594748
2.25,10.93311733,10.76703381,10.80811053,0.847765209,0.346720744,0.73546176
2.26,10.93263473,10.76583047,10.8070194,0.850919535,0.348106877,0.738325141
2.27,10.93215049,10.76462574,10.80592636,0.854068569,0.349491605,0.741184894
2.28,10.93166462,10.76341964,10.80483141,0.857212316,0.350874931,0.744041022
2.29,10.93117711,10.76221216,10.80373457,0.860350783,0.352256854,0.746893528
2.3,10.93068797,10.76100331,10.80263584,0.863483979,0.353637376,0.749742416
2.31,10.93019721,10.75979308,10.80153523,0.866611909,0.355016497,0.752587688
2.32,10.92970481,10.75858149,10.80043273,0.869734581,0.356394219,0.755429347
2.33,10.92921079,10.75736853,10.79932835,0.872852002,0.357770542,0.758267397
2.34,10.92871514,10.75615421,10.7982221,0.87596418,0.359145467,0.76110184
2.35,10.92821787,10.75493854,10.79711399,0.87907112,0.360518995,0.76393268
2.36,10.92771898,10.75372151,10.79600401,0.882172831,0.361891128,0.766759919
2.37,10.92721846,10.75250312,10.79489218,0.88526932,0.363261866,0.769583562
2.38,10.92671634,10.75128339,10.79377849,0.888360593,0.364631209,0.77240361
2.39,10.92621259,10.75006231,10.79266295,0.891446658,0.36599916,0.775220068
2.4,10.92570723,10.74883988,10.79154557,0.894527522,0.367365719,0.778032938
2.41,10.92520026,10.74761612,10.79042636,0.897603192,0.368730887,0.780842224
2.42,10.92469168,10.74639102,10.7893053,0.900673675,0.370094665,0.783647928
2.43,10.9241815,10.74516458,10.78818242,0.903738979,0.371457054,0.786450054
2.44,10.9236697,10.74393681,10.78705772,0.906799111,0.372818054,0.789248606
2.45,10.9231563,10.74270772,10.7859312,0.909854078,0.374177668,0.792043585
2.46,10.9226413,10.7414773,10.78480286,0.912903887,0.375535895,0.794834996
2.47,10.9221247,10.74024555,10.78367271,0.915948545,0.376892737,0.797622842
2.48,10.92160649,10.73901249,10.78254076,0.918988059,0.378248196,0.800407126
2.49,10.92108669,10.73777812,10.78140701,0.922022438,0.379602271,0.803187851
2.5,10.9205653,10.73654243,10.78027146,0.925051687,0.380954964,0.80596502
2.51,10.92004231,10.73530542,10.77913412,0.928075815,0.382306275,0.808738637
2.52,10.91951773,10.73406712,10.77799499,0.931094827,0.383656207,0.811508705
2.53,10.91899156,10.73282751,10.77685409,0.934108733,0.38500476,0.814275227
2.54,10.9184638,10.73158659,10.7757114,0.937117538,0.386351934,0.817038206
2.55,10.91793446,10.73034438,10.77456695,0.940121251,0.387697732,0.819797647
2.56,10.91740353,10.72910088,10.77342073,0.943119878,0.389042153,0.822553551
2.57,10.91687103,10.72785608,10.77227275,0.946113426,0.390385199,0.825305923
2.58,10.91633694,10.72661,10.77112301,0.949101904,0.391726872,0.828054765
2.59,10.91580127,10.72536263,10.76997151,0.952085317,0.393067171,0.830800081
2.6,10.91526403,10.72411398,10.76881827,0.955063674,0.394406099,0.833541875
2.61,10.91472521,10.72286404,10.76766329,0.958036981,0.395743655,0.836280148
2.62,10.91418482,10.72161283,10.76650657,0.961005246,0.397079842,0.839014906
2.63,10.91364285,10.72036035,10.76534811,0.963968476,0.398414659,0.841746151
2.64,10.91309932,10.7191066,10.76418792,0.966926678,0.399748109,0.844473886
2.65,10.91255423,10.71785158,10.76302601,0.96987986,0.401080192,0.847198116
2.66,10.91200757,10.71659529,10.76186238,0.972828028,0.40241091,0.849918842
2.67,10.91145934,10.71533775,10.76069704,0.975771191,0.403740263,0.852636069
2.68,10.91090956,10.71407894,10.75952998,0.978709355,0.405068252,0.8553498
2.69,10.91035821,10.71281888,10.75836122,0.981642527,0.406394878,0.858060037
2.7,10.90980531,10.71155757,10.75719076,0.984570715,0.407720143,0.860766786
2.71,10.90925085,10.71029501,10.7560186,0.987493926,0.409044048,0.863470048
2.72,10.90869484,10.7090312,10.75484475,0.990412167,0.410366593,0.866169827
2.73,10.90813728,10.70776615,10.75366922,0.993325445,0.411687779,0.868866127
2.74,10.90757817,10.70649985,10.752492,0.996233768,0.413007608,0.871558951
2.75,10.90701751,10.70523233,10.7513131,0.999137143,0.414326081,0.874248303
2.76,10.9064553,10.70396356,10.75013253,1.002035578,0.415643199,0.876934185
2.77,10.90589155,10.70269357,10.7489503,1.004929078,0.416958963,0.879616601
2.78,10.90532626,10.70142234,10.74776639,1.007817652,0.418273373,0.882295554
2.79,10.90475943,10.7001499,10.74658083,1.010701307,0.419586432,0.884971049
2.8,10.90419107,10.69887622,10.74539362,1.013580049,0.420898139,0.887643087
2.81,10.90362116,10.69760133,10.74420475,1.016453887,0.422208497,0.890311673
2.82,10.90304973,10.69632523,10.74301424,1.019322828,0.423517506,0.89297681
2.83,10.90247676,10.69504791,10.74182209,1.022186877,0.424825166,0.895638501
2.84,10.90190226,10.69376938,10.74062831,1.025046044,0.426131481,0.89829675
2.85,10.90132623,10.69248964,10.73943289,1.027900335,0.427436449,0.900951561
2.86,10.90074868,10.6912087,10.73823584,1.030749757,0.428740073,0.903602935
2.87,10.9001696,10.68992656,10.73703717,1.033594317,0.430042354,0.906250878
2.88,10.899589,10.68864321,10.73583689,1.036434023,0.431343292,0.908895392
2.89,10.89900688,10.68735868,10.73463499,1.039268881,0.432642889,0.91153648
2.9,10.89842324,10.68607295,10.73343148,1.042098899,0.433941145,0.914174147
2.91,10.89783809,10.68478603,10.73222637,1.044924085,0.435238062,0.916808395
2.92,10.89725142,10.68349792,10.73101966,1.047744444,0.436533642,0.919439228
2.93,10.89666323,10.68220863,10.72981135,1.050559985,0.437827884,0.922066649
2.94,10.89607354,10.68091816,10.72860145,1.053370715,0.43912079,0.924690661
2.95,10.89548234,10.67962652,10.72738997,1.05617664,0.440412361,0.927311269
2.96,10.89488963,10.67833369,10.7261769,1.058977768,0.441702598,0.929928476
2.97,10.89429542,10.6770397,10.72496226,1.061774106,0.442991503,0.932542284
2.98,10.89369971,10.67574453,10.72374605,1.064565661,0.444279076,0.935152697
2.99,10.89310249,10.6744482,10.72252826,1.06735244,0.445565318,0.93775972
3,10.89250378,10.67315071,10.72130892,1.070134451,0.446850231,0.940363354
3.01,10.89190357,10.67185206,10.72008801,1.0729117,0.448133815,0.942963603
3.02,10.89130186,10.67055225,10.71886555,1.075684194,0.449416072,0.945560472
3.03,10.89069866,10.66925128,10.71764154,1.078451941,0.450697003,0.948153963
3.04,10.89009397,10.66794917,10.71641598,1.081214948,0.451976609,0.95074408
3.05,10.88948779,10.6666459,10.71518888,1.083973222,0.45325489,0.953330825
3.06,10.88888013,10.66534149,10.71396025,1.08672677,0.454531849,0.955914203
3.07,10.88827098,10.66403594,10.71273008,1.089475598,0.455807485,0.958494217
3.08,10.88766035,10.66272925,10.71149839,1.092219715,0.457081801,0.961070871
3.09,10.88704823,10.66142142,10.71026517,1.094959127,0.458354797,0.963644167
3.1,10.88643464,10.66011246,10.70903043,1.097693841,0.459626474,0.966214109
3.11,10.88581957,10.65880236,10.70779417,1.100423864,0.460896834,0.968780701
3.12,10.88520302,10.65749114,10.70655641,1.103149203,0.462165877,0.971343945
3.13,10.884585,10.65617879,10.70531714,1.105869866,0.463433604,0.973903846
3.14,10.88396551,10.65486532,10.70407637,1.108585859,0.464700018,0.976460407
3.15,10.88334455,10.65355074,10.7028341,1.111297189,0.465965118,0.979013631
3.16,10.88272212,10.65223503,10.70159033,1.114003864,0.467228905,0.981563521
3.17,10.88209823,10.65091821,10.70034508,1.11670589,0.468491382,0.984110082
3.18,10.88147287,10.64960028,10.69909835,1.119403274,0.469752549,0.986653315
3.19,10.88084605,10.64828124,10.69785013,1.122096024,0.471012406,0.989193226
3.2,10.88021777,10.6469611,10.69660044,1.124784146,0.472270956,0.991729816
3.21,10.87958804,10.64563985,10.69534928,1.127467647,0.473528199,0.99426309
3.22,10.87895685,10.6443175,10.69409664,1.130146535,0.474784137,0.996793051
3.23,10.8783242,10.64299406,10.69284255,1.132820816,0.47603877,0.999319702
3.24,10.8776901,10.64166952,10.691587,1.135490496,0.477292099,1.001843047
3.25,10.87705456,10.6403439,10.69032999,1.138155584,0.478544126,1.004363089
3.26,10.87641756,10.63901718,10.68907154,1.140816087,0.479794852,1.006879832
3.27,10.87577912,10.63768938,10.68781163,1.14347201,0.481044277,1.009393278
3.28,10.87513924,10.6363605,10.68655029,1.146123361,0.482292403,1.011903432
3.29,10.87449791,10.63503053,10.68528751,1.148770146,0.483539231,1.014410296
3.3,10.87385515,10.63369949,10.6840233,1.151412374,0.484784762,1.016913874
3.31,10.87321094,10.63236738,10.68275765,1.15405005,0.486028997,1.01941417
3.32,10.8725653,10.63103419,10.68149059,1.156683182,0.487271937,1.021911187
3.33,10.87191822,10.62969994,10.6802221,1.159311776,0.488513584,1.024404928
3.34,10.87126972,10.62836462,10.67895219,1.161935839,0.489753938,1.026895396
3.35,10.87061978,10.62702824,10.67768088,1.164555378,0.490993,1.029382596
3.36,10.86996841,10.6256908,10.67640816,1.167170401,0.492230771,1.031866529
3.37,10.86931562,10.6243523,10.67513403,1.169780913,0.493467254,1.034347201
3.38,10.86866141,10.62301274,10.6738585,1.172386922,0.494702448,1.036824613
3.39,10.86800577,10.62167213,10.67258158,1.174988434,0.495936354,1.03929877
3.4,10.86734871,10.62033048,10.67130327,1.177585457,0.497168975,1.041769675
3.41,10.86669023,10.61898778,10.67002357,1.180177997,0.49840031,1.044237331
3.42,10.86603033,10.61764403,10.66874249,1.18276606,0.499630361,1.046701742
3.43,10.86536902,10.61629925,10.66746002,1.185349655,0.50085913,1.04916291
3.44,10.8647063,10.61495343,10.66617619,1.187928787,0.502086616,1.05162084
3.45,10.86404217,10.61360657,10.66489098,1.190503463,0.503312822,1.054075535
3.46,10.86337662,10.61225868,10.66360441,1.193073691,0.504537748,1.056526997
