time_total,time_GTT,H1_G_opt,H1_G_min,H1_G_max,H1_I_opt,H1_I_min,H1_I_max,H2_G_opt,H2_G_min,H2_G_max,H2_I_opt,H2_I_min,H2_I_max,Glycemic_level
0.65,,5.482005171,5.482005171,5.489023391,0.19108278,0.18953963,0.237581365,5.481722354,5.481716007,5.48558877,0.198854431,0.199877721,0.233357207,
0.66,,5.481725789,5.481725789,5.488849801,0.193995677,0.192424472,0.241191814,5.48143925,5.481431703,5.485363691,0.20188444,0.202920835,0.236903205,
0.67,,5.481446298,5.481446298,5.488676024,0.196907515,0.195308087,0.244800507,5.481156062,5.481147274,5.485138476,0.204913293,0.205962691,0.240447468,
0.68,,5.481166699,5.481166699,5.488502058,0.199818284,0.198190466,0.248407432,5.48087279,5.480862717,5.484913123,0.207940982,0.20900328,0.243989984,
0.69,,5.48088699,5.48088699,5.488327902,0.202727978,0.2010716,0.252012576,5.480589433,5.480578032,5.484687631,0.210967497,0.212042592,0.247530741,
0.7,,5.480607171,5.480607171,5.488153554,0.20563659,0.203951482,0.255615929,5.480305991,5.480293218,5.484461999,0.213992833,0.21508062,0.251069727,
0.71,,5.48032724,5.48032724,5.487979013,0.208544111,0.206830103,0.259217478,5.480022462,5.480008275,5.484236226,0.21701698,0.218117355,0.254606932,
0.72,,5.480047198,5.480047198,5.487804278,0.211450536,0.209707456,0.262817212,5.479738847,5.4797232,5.484010311,0.220039931,0.221152788,0.258142344,
0.73,,5.479767042,5.479767042,5.487629348,0.214355857,0.212583531,0.266415121,5.479455144,5.479437994,5.483784254,0.223061678,0.224186912,0.261675953,
0.74,,5.479486772,5.479486772,5.487454221,0.217260068,0.215458323,0.270011193,5.479171353,5.479152655,5.483558054,0.226082214,0.227219719,0.265207747,
0.75,,5.479206388,5.479206388,5.487278898,0.220163161,0.218331823,0.273605418,5.478887473,5.478867182,5.483331709,0.229101533,0.230251201,0.268737717,
0.76,,5.478925889,5.478925889,5.487103375,0.223065131,0.221204024,0.277197785,5.478603503,5.478581575,5.483105218,0.232119626,0.233281351,0.272265853,
0.77,,5.478645273,5.478645273,5.486927653,0.225965971,0.224074919,0.280788285,5.478319444,5.478295833,5.482878582,0.235136486,0.236310161,0.275792144,
0.78,,5.478364541,5.478364541,5.486751731,0.228865674,0.2269445,0.284376907,5.478035293,5.478009955,5.482651799,0.238152108,0.239337624,0.279316581,
0.79,,5.478083691,5.478083691,5.486575606,0.231764235,0.229812762,0.287963642,5.477751052,5.477723941,5.482424869,0.241166485,0.242363733,0.282839154,
