Gmeasured_max_11mM,Gmeasured_min_11mM,Gmeasured_opt_11mM,Imeasured_max_11mM,Imeasured_min_11mM,Imeasured_opt_11mM,time,Gmeasured_max_5p5mM,Gmeasured_min_5p5mM,Gmeasured_opt_5p5mM,Imeasured_max_5p5mM,Imeasured_min_5p5mM,Imeasured_opt_5p5mM,Gmeasured_max_11mM_lowHC,Gmeasured_min_11mM_lowHC,Gmeasured_opt_11mM_lowHC,Gmeasured_max_5p5mM_lowHC,Gmeasured_min_5p5mM_lowHC,Gmeasured_opt_5p5mM_lowHC,Imeasured_max_11mM_lowHC,Imeasured_min_11mM_lowHC,Imeasured_opt_11mM_lowHC,Imeasured_max_5p5mM_lowHC,Imeasured_min_5p5mM_lowHC,Imeasured_opt_5p5mM_lowHC
10.82297696,7.417197751,9.900192534,1409.038292,1033.835268,1052.956741,88.15,5.446295217,3.991452635,4.997330584,744.1722929,510.8823715,629.1534654,9.442823346,7.030638861,8.881017283,4.98557482,2.71243443,4.595492906,3350.801987,2073.68635,1625.094668,1613.368912,1020.386965,769.3046583
10.82275129,7.412986895,9.898821514,1409.182985,1033.797135,1052.946078,88.2,5.446226381,3.989696598,4.996683342,744.2140127,510.9317,629.2534623,9.440489703,7.025623969,8.877789156,4.984690253,2.711324837,4.594064553,3352.374825,2073.887668,1625.62612,1614.080984,1020.481545,769.4839614
10.82252577,7.408778659,9.897451244,1409.32565,1033.757493,1052.933826,88.25,5.446157584,3.987941427,4.99603639,744.2547574,510.9802361,629.352569,9.438156324,7.020611624,8.874561693,4.983805675,2.710215916,4.592636356,3353.942614,2074.086623,1626.15537,1614.790693,1020.575001,769.6621395
10.82230039,7.404573046,9.896081722,1409.466293,1033.716347,1052.919989,88.3,5.446088824,3.986187122,4.995389729,744.2945294,511.0279817,629.4507876,9.435823212,7.015601829,8.871334898,4.982921086,2.709107665,4.591208315,3355.505357,2074.283221,1626.682424,1615.498043,1020.667336,769.839195
10.82207517,7.400370059,9.894712951,1409.604917,1033.673699,1052.904572,88.35,5.446020102,3.984433685,4.994743358,744.3333316,511.0749386,629.5481201,9.433490368,7.010594589,8.868108775,4.982036489,2.708000084,4.589780434,3357.06306,2074.477471,1627.207284,1616.203035,1020.758553,770.01513
10.8218501,7.396169698,9.893344929,1409.741527,1033.629556,1052.887578,88.4,5.445951418,3.982681115,4.994097278,744.3711665,511.1211085,629.6445685,9.431157795,7.005589909,8.864883326,4.981151883,2.706893173,4.588352713,3358.615728,2074.669377,1627.729956,1616.905675,1020.848656,770.1899469
10.82162518,7.391971965,9.891977658,1409.87613,1033.583921,1052.869012,88.45,5.445882771,3.980929414,4.99345149,744.4080368,511.1664934,629.740135,9.428825495,7.000587793,8.861658556,4.980267271,2.705786932,4.586925155,3360.163366,2074.858948,1628.250442,1617.605963,1020.937649,770.3636479
10.82140041,7.387776863,9.890611138,1410.008729,1033.536798,1052.848878,88.5,5.445814163,3.979178581,4.992805993,744.4439451,511.211095,629.8348216,9.426493469,6.995588245,8.858434468,4.979382653,2.704681359,4.585497762,3361.705978,2075.04619,1628.768747,1618.303904,1021.025534,770.5362353
10.82117579,7.383584393,9.889245368,1410.13933,1033.488192,1052.82718,88.55,5.445745592,3.977428618,4.992160789,744.4788941,511.2549151,629.9286303,9.42416172,6.99059127,8.855211066,4.978498031,2.703576455,4.584070535,3363.243571,2075.231109,1629.284874,1618.9995,1021.112316,770.7077112
10.82095132,7.379394557,9.88788035,1410.267937,1033.438107,1052.803923,88.6,5.44567706,3.975679525,4.991515876,744.5128864,511.2979556,630.0215631,9.42183025,6.985596873,8.851988353,4.977613405,2.70247222,4.582643476,3364.77615,2075.413713,1629.798829,1619.692755,1021.197997,770.878078
