time_total,Glucose_max,Glucose_min,Glucose_opt,Insulin_max,Insulin_min,Insulin_opt
183.4,9.023273958,6.730319711,8.019660024,1.416956132,1.416956132,1.842497985
183.41,9.0228574,6.729372074,8.019014091,1.416845209,1.416845209,1.842347923
183.42,9.022440866,6.728424644,8.01836823,1.416734246,1.416734246,1.842197837
183.43,9.022024358,6.727477422,8.017722441,1.416623244,1.416623244,1.842047727
183.44,9.021607875,6.726530406,8.017076723,1.416512202,1.416512202,1.841897593
183.45,9.021191417,6.725583598,8.016431078,1.416401121,1.416401121,1.841747434
183.46,9.020774985,6.724636997,8.015785504,1.416290001,1.416290001,1.841597252
183.47,9.020358578,6.723690602,8.015140002,1.416178841,1.416178841,1.841447045
183.48,9.019942197,6.722744415,8.014494571,1.416067642,1.416067642,1.841296815
183.49,9.01952584,6.721798435,8.013849213,1.415956404,1.415956404,1.84114656
183.5,9.01910951,6.720852662,8.013203926,1.415845127,1.415845127,1.840996282
183.51,9.018693204,6.719907096,8.012558711,1.415733811,1.415733811,1.84084598
183.52,9.018276923,6.718961737,8.011913567,1.415622456,1.415622456,1.840695654
183.53,9.017860668,6.718016585,8.011268495,1.415511062,1.415511062,1.840545304
183.54,9.017444439,6.71707164,8.010623495,1.415399629,1.415399629,1.84039493
183.55,9.017028234,6.716126902,8.009978567,1.415288157,1.415288157,1.840244533
183.56,9.016612055,6.715182371,8.00933371,1.415176646,1.415176646,1.840094112
183.57,9.016195901,6.714238046,8.008688925,1.415065097,1.415065097,1.839943667
183.58,9.015779772,6.713293929,8.008044212,1.414953509,1.414953509,1.839793199
183.59,9.015363668,6.712350018,8.00739957,1.414841882,1.414841882,1.839642707
183.6,9.01494759,6.711406315,8.006755,1.414730217,1.414730217,1.839492191
183.61,9.014531537,6.710462818,8.006110502,1.414618513,1.414618513,1.839341653
183.62,9.014115509,6.709519527,8.005466075,1.41450677,1.41450677,1.83919109
183.63,9.013699507,6.708576444,8.00482172,1.414394989,1.414394989,1.839040505
183.64,9.013283529,6.707633567,8.004177436,1.41428317,1.41428317,1.838889896
183.65,9.012867577,6.706690897,8.003533224,1.414171312,1.414171312,1.838739264
183.66,9.01245165,6.705748434,8.002889083,1.414059416,1.414059416,1.838588608
183.67,9.012035748,6.704806178,8.002245015,1.413947482,1.413947482,1.838437929
183.68,9.011619872,6.703864128,8.001601017,1.41383551,1.41383551,1.838287228
183.69,9.01120402,6.702922284,8.000957091,1.413723499,1.413723499,1.838136503
183.7,9.010788194,6.701980648,8.000313237,1.41361145,1.41361145,1.837985755
183.71,9.010372393,6.701039218,7.999669454,1.413499364,1.413499364,1.837834983
183.72,9.009956617,6.700097994,7.999025743,1.413387239,1.413387239,1.837684189
183.73,9.009540866,6.699156978,7.998382104,1.413275076,1.413275076,1.837533372
183.74,9.00912514,6.698216167,7.997738535,1.413162875,1.413162875,1.837382532
183.75,9.00870944,6.697275564,7.997095039,1.413050637,1.413050637,1.837231669
183.76,9.008293764,6.696335166,7.996451614,1.41293836,1.41293836,1.837080783
183.77,9.007878114,6.695394975,7.99580826,1.412826046,1.412826046,1.836929875
183.78,9.007462489,6.694454991,7.995164978,1.412713695,1.412713695,1.836778943
183.79,9.007046889,6.693515213,7.994521767,1.412601305,1.412601305,1.836627989
183.8,9.006631314,6.692575642,7.993878627,1.412488878,1.412488878,1.836477012
183.81,9.006215764,6.691636277,7.99323556,1.412376413,1.412376413,1.836326013
183.82,9.00580024,6.690697118,7.992592563,1.412263911,1.412263911,1.836174991
183.83,9.00538474,6.689758166,7.991949638,1.412151371,1.412151371,1.836023946
183.84,9.004969266,6.68881942,7.991306784,1.412038794,1.412038794,1.835872879
183.85,9.004553816,6.68788088,7.990664002,1.41192618,1.41192618,1.83572179
183.86,9.004138392,6.686942547,7.990021291,1.411813528,1.411813528,1.835570678
183.87,9.003722992,6.686004419,7.989378652,1.411700839,1.411700839,1.835419543
183.88,9.003307618,6.685066499,7.988736083,1.411588112,1.411588112,1.835268386
183.89,9.002892269,6.684128784,7.988093587,1.411475349,1.411475349,1.835117207
183.9,9.002476945,6.683191275,7.987451161,1.411362548,1.411362548,1.834966006
183.91,9.002061646,6.682253973,7.986808807,1.411249711,1.411249711,1.834814782
183.92,9.001646372,6.681316877,7.986166524,1.411136836,1.411136836,1.834663536
183.93,9.001231122,6.680379987,7.985524313,1.411023924,1.411023924,1.834512268
183.94,9.000815898,6.679443303,7.984882173,1.410910975,1.410910975,1.834360978
183.95,9.000400699,6.678506826,7.984240104,1.41079799,1.41079799,1.834209666
183.96,8.999985525,6.677570554,7.983598106,1.410684968,1.410684968,1.834058331
183.97,8.999570376,6.676634488,7.98295618,1.410571908,1.410571908,1.833906975
183.98,8.999155252,6.675698629,7.982314325,1.410458812,1.410458812,1.833755597
183.99,8.998740153,6.674762975,7.981672541,1.41034568,1.41034568,1.833604197
184,8.998325079,6.673827528,7.981030829,1.41023251,1.41023251,1.833452775
184.01,8.99791003,6.672892286,7.980389187,1.410119305,1.410119305,1.833301331
184.02,8.997495006,6.67195725,7.979747617,1.410006062,1.410006062,1.833149865
184.03,8.997080007,6.671022421,7.979106119,1.409892783,1.409892783,1.832998377
184.04,8.996665033,6.670087797,7.978464691,1.409779468,1.409779468,1.832846868
184.05,8.996250083,6.669153379,7.977823335,1.409666116,1.409666116,1.832695337
184.06,8.995835159,6.668219167,7.977182049,1.409552728,1.409552728,1.832543785
184.07,8.99542026,6.667285161,7.976540835,1.409439303,1.409439303,1.83239221
184.08,8.995005385,6.66635136,7.975899692,1.409325843,1.409325843,1.832240615
184.09,8.994590536,6.665417766,7.975258621,1.409212346,1.409212346,1.832088997
184.1,8.994175711,6.664484377,7.97461762,1.409098812,1.409098812,1.831937359
184.11,8.993760912,6.663551194,7.973976691,1.408985243,1.408985243,1.831785698
184.12,8.993346137,6.662618216,7.973335833,1.408871638,1.408871638,1.831634017
184.13,8.992931387,6.661685445,7.972695045,1.408757996,1.408757996,1.831482314
184.14,8.992516662,6.660752879,7.972054329,1.408644319,1.408644319,1.831330589
184.15,8.992101962,6.659820518,7.971413685,1.408530606,1.408530606,1.831178844
184.16,8.991687287,6.658888364,7.970773111,1.408416857,1.408416857,1.831027077
184.17,8.991272636,6.657956415,7.970132608,1.408303072,1.408303072,1.830875289
184.18,8.990858011,6.657024671,7.969492176,1.408189251,1.408189251,1.830723479
184.19,8.99044341,6.656093133,7.968851816,1.408075394,1.408075394,1.830571649
184.2,8.990028835,6.655161801,7.968211526,1.407961502,1.407961502,1.830419797
184.21,8.989614284,6.654230674,7.967571308,1.407847574,1.407847574,1.830267925
184.22,8.989199758,6.653299753,7.96693116,1.407733611,1.407733611,1.830116031
184.23,8.988785257,6.652369037,7.966291084,1.407619612,1.407619612,1.829964116
184.24,8.98837078,6.651438527,7.965651078,1.407505577,1.407505577,1.829812181
184.25,8.987956329,6.650508222,7.965011144,1.407391507,1.407391507,1.829660224
184.26,8.987541902,6.649578122,7.964371281,1.407277402,1.407277402,1.829508247
184.27,8.9871275,6.648648228,7.963731488,1.407163261,1.407163261,1.829356249
184.28,8.986713123,6.647718539,7.963091767,1.407049085,1.407049085,1.829204229
184.29,8.986298771,6.646789056,7.962452116,1.406934873,1.406934873,1.82905219
184.3,8.985884443,6.645859778,7.961812537,1.406820627,1.406820627,1.828900129
184.31,8.98547014,6.644930705,7.961173028,1.406706345,1.406706345,1.828748048
184.32,8.985055862,6.644001837,7.96053359,1.406592028,1.406592028,1.828595946
184.33,8.984641609,6.643073175,7.959894224,1.406477676,1.406477676,1.828443824
184.34,8.984227381,6.642144718,7.959254928,1.406363289,1.406363289,1.828291681
184.35,8.983813177,6.641216466,7.958615703,1.406248867,1.406248867,1.828139517
